timestamp,tab_switches,is_cheating
2023-12-01 08:00:32.181296,1,0
2023-12-01 08:01:01.923778,1,1
2023-12-01 08:01:24.462808,1,0
2023-12-01 08:04:10.610743,1,0
2023-12-01 08:04:23.902814,1,0
2023-12-01 08:05:06.991353,1,0
2023-12-01 08:05:45.348918,1,0
2023-12-01 08:10:27.705789,1,0
2023-12-01 08:10:28.634146,1,1
2023-12-01 08:11:45.471622,1,0
2023-12-01 08:12:08.403670,1,0
2023-12-01 08:12:56.985808,2,1
2023-12-01 08:13:43.778059,1,0
2023-12-01 08:15:53.630285,2,1
2023-12-01 08:16:05.541353,2,1
2023-12-01 08:16:06.268609,1,0
2023-12-01 08:16:34.374284,2,1
2023-12-01 08:17:20.848239,1,0
2023-12-01 08:18:03.604493,1,0
2023-12-01 08:18:16.249745,1,0
2023-12-01 08:18:30.658549,1,0
2023-12-01 08:18:37.638201,3,1
2023-12-01 08:19:59.029537,1,0
2023-12-01 08:20:01.245833,3,1
2023-12-01 08:20:05.651826,2,1
2023-12-01 08:21:07.798888,1,0
2023-12-01 08:22:34.492544,1,0
2023-12-01 08:23:27.966623,1,0
2023-12-01 08:25:27.029709,1,0
2023-12-01 08:26:15.003850,1,1
2023-12-01 08:30:20.764547,1,0
2023-12-01 08:30:32.243586,1,0
2023-12-01 08:31:44.893223,1,0
2023-12-01 08:32:10.607838,2,1
2023-12-01 08:32:11.707660,3,1
2023-12-01 08:32:16.431032,3,1
2023-12-01 08:32:27.065966,2,1
2023-12-01 08:35:35.699229,1,1
2023-12-01 08:35:36.093395,2,1
2023-12-01 08:38:44.200252,1,1
2023-12-01 08:38:50.288666,3,1
2023-12-01 08:38:54.776312,3,1
2023-12-01 08:40:57.769960,2,1
2023-12-01 08:41:22.298327,1,0
2023-12-01 08:45:07.635464,1,0
2023-12-01 08:45:23.928199,1,0
2023-12-01 08:46:01.961197,1,1
2023-12-01 08:46:02.481703,1,1
2023-12-01 08:46:04.654219,1,0
2023-12-01 08:46:09.490661,2,1
2023-12-01 08:46:24.359325,3,1
2023-12-01 08:46:49.511068,1,0
2023-12-01 08:50:27.351053,1,0
2023-12-01 08:51:53.603388,1,0
2023-12-01 08:53:38.633196,1,1
2023-12-01 08:53:39.863719,1,0
2023-12-01 08:53:46.439664,2,1
2023-12-01 08:53:56.750997,3,1
2023-12-01 08:54:24.146487,2,1
2023-12-01 08:54:30.505881,2,1
2023-12-01 08:56:36.566904,1,1
2023-12-01 08:56:56.751397,1,1
2023-12-01 08:57:13.312504,1,1
2023-12-01 08:57:18.608048,3,1
2023-12-01 08:57:31.364389,1,0
2023-12-01 08:58:25.428667,3,1
2023-12-01 08:58:38.846349,1,0
2023-12-01 08:58:52.896974,1,0
2023-12-01 08:59:46.863913,1,0
2023-12-01 09:02:17.590762,1,0
2023-12-01 09:04:16.481573,1,0
2023-12-01 09:11:18.563371,1,0
2023-12-01 09:12:24.930748,1,0
2023-12-01 09:12:40.455588,1,1
2023-12-01 09:13:10.485031,1,0
2023-12-01 09:16:24.239048,1,0
2023-12-01 09:17:03.486214,1,0
2023-12-01 09:18:03.049560,2,1
2023-12-01 09:18:17.626307,3,1
2023-12-01 09:18:34.491959,1,1
2023-12-01 09:18:37.877319,3,1
2023-12-01 09:18:48.666952,2,1
2023-12-01 09:20:03.361127,1,0
2023-12-01 09:20:17.837947,1,0
2023-12-01 09:23:34.786509,2,1
2023-12-01 09:23:54.557768,1,1
2023-12-01 09:24:32.255729,1,0
2023-12-01 09:25:24.449757,1,0
2023-12-01 09:25:49.694256,1,0
2023-12-01 09:26:16.313404,1,0
2023-12-01 09:28:18.277245,1,0
2023-12-01 09:29:07.072114,1,0
2023-12-01 09:29:11.655329,1,0
2023-12-01 09:29:43.894743,1,0
2023-12-01 09:33:54.216082,3,1
2023-12-01 09:34:08.109106,1,1
2023-12-01 09:34:12.683308,1,1
2023-12-01 09:38:56.367400,1,0
2023-12-01 09:40:23.931340,1,0
2023-12-01 09:41:16.094472,1,0
2023-12-01 09:41:29.696316,1,1
2023-12-01 09:41:44.159543,1,1
2023-12-01 09:42:25.935071,1,0
2023-12-01 09:44:02.934772,1,0
2023-12-01 09:44:54.540906,1,0
2023-12-01 09:45:58.455897,1,0
2023-12-01 09:46:37.757412,1,0
2023-12-01 09:46:46.848688,1,0
2023-12-01 09:47:46.618271,1,0
2023-12-01 09:48:45.147457,1,0
2023-12-01 09:49:14.528334,1,0
2023-12-01 09:52:57.692939,2,1
2023-12-01 09:53:05.902755,1,0
2023-12-01 09:53:07.792615,3,1
2023-12-01 09:53:22.160824,2,1
2023-12-01 09:53:25.696266,1,1
2023-12-01 09:53:28.383222,2,1
2023-12-01 09:54:47.967485,1,0
2023-12-01 09:55:18.860677,1,0
2023-12-01 09:59:09.395564,1,0
2023-12-01 09:59:41.290270,3,1
2023-12-01 09:59:44.052876,1,1
2023-12-01 10:00:09.547738,1,0
2023-12-01 10:01:22.264587,1,0
2023-12-01 10:04:12.381419,2,1
2023-12-01 10:04:13.774113,1,0
2023-12-01 10:06:26.425218,1,0
2023-12-01 10:08:01.930676,2,1
2023-12-01 10:08:06.076646,3,1
2023-12-01 10:08:21.405990,1,1
2023-12-01 10:08:45.336929,1,0
2023-12-01 10:10:43.145891,1,1
2023-12-01 10:15:57.062334,1,0
2023-12-01 10:17:29.778337,1,0
2023-12-01 10:18:39.901768,1,0
2023-12-01 10:19:14.474806,1,0
2023-12-01 10:19:23.756669,1,0
2023-12-01 10:24:04.776714,1,0
2023-12-01 10:26:08.432588,1,0
2023-12-01 10:26:12.462358,1,0
2023-12-01 10:27:09.774609,1,0
2023-12-01 10:27:19.842754,1,1
2023-12-01 10:27:20.282275,2,1
2023-12-01 10:27:28.795286,2,1
2023-12-01 10:28:17.477175,1,0
2023-12-01 10:28:43.125677,1,0
2023-12-01 10:29:32.094262,1,1
2023-12-01 10:29:42.741823,2,1
2023-12-01 10:29:51.555728,3,1
2023-12-01 10:30:06.639566,1,0
2023-12-01 10:30:45.428068,1,0
2023-12-01 10:30:47.301114,2,1
2023-12-01 10:31:05.992294,1,0
2023-12-01 10:32:13.693962,1,0
2023-12-01 10:32:27.563430,3,1
